locality,Family,Genus,morphotype id,petiole width,leaf area,pw^2/a,,
Badger's Nose,Betulaceae,Alnus,Alnus newberryi,0.075082,14.907982,0.00037814,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.051272,4.79356,0.000548406,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.146573,6.223188,0.003452193,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.052353,3.107462,0.000882018,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.030624,3.478013,0.000269645,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.053899,9.889502,0.000293756,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.03822,2.130213,0.000685738,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.050097,16.194276,0.000154975,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.053165,2.32898,0.001213629,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.041001,3.7085,0.000453305,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.0875,7.068021,0.001083224,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.079805,8.117619,0.00078457,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.109141,11.727724,0.001015692,,
Badger's Nose,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum sp,0.050444,2.366781,0.00107513,,
Badger's Nose,Lauraceae,Litseaphyllum,Litseaphyllum sp,0.305348,36.455619,0.002557559,,
Badger's Nose,Magnoliaceae,Magnolia,Magnolia dayana,0.345766,36.872525,0.003242363,,
Badger's Nose,Hamamelidaceae,Parrotia,Parrotia brevipetiolata,0.105737,10.961633,0.00101995,,
Badger's Nose,Hamamelidaceae,Parrotia,Parrotia brevipetiolata,0.056269,27.220815,0.000116315,,
Badger's Nose,Hamamelidaceae,Parrotia,Parrotia brevipetiolata,0.078096,18.81631,0.000324133,,
Badger's Nose,Hamamelidaceae,Parrotia,Parrotia brevipetiolata,0.077922,21.877598,0.000277537,,
Badger's Nose,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.183852,5.576047,0.006061921,,
Badger's Nose,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.171868,5.506253,0.005364557,,
