"","scrubbed_family","scrubbed_genus","log_pet_leafarea","count","fit","upr","lwr"
"1","Betulaceae","Alnus",-7.88024606054449,403,3.9920451331529,4.75628919844306,3.2620154976416
"15","Lauraceae","Litseaphyllum",-5.96870199100087,40,4.87768607233154,5.6357152119013,4.13621347780853
"26","Rosaceae","Rosa",-6.12138555075169,159,4.6551086921072,5.33927445821874,3.89383191000418
"29","Betulaceae","Alnus",-7.68472764510757,403,4.04645375791549,4.81256698560696,3.2392966977743
"30","Betulaceae","Alnus",-6.45249796922928,403,4.52026014567122,5.24688635659605,3.71549109950452
"31","Betulaceae","Alnus",-5.58566802725609,403,4.86222007919832,5.62228298486668,4.09615354131603
"32","Betulaceae","Alnus",-8.37631013858988,403,3.75325242874107,4.52773304299378,2.99107164066158
"33","Betulaceae","Alnus",-4.88444278406355,403,5.15275864266003,5.92803979673456,4.33253499711329
"34","Betulaceae","Alnus",-5.38604187047952,403,4.93885513845992,5.71256617732217,4.15833938663982
"35","Betulaceae","Alnus",-7.20581097186148,403,4.23410011839086,5.03612930130531,3.42856182132592
"36","Betulaceae","Alnus",-6.7325137263731,403,4.42153404364313,5.19256264155522,3.64905989201214
"37","Betulaceae","Alnus",-7.11987976381391,403,4.27217538112444,5.08312518258555,3.46711096912698
"38","Betulaceae","Alnus",-6.73645422547165,403,4.40892723560561,5.09945218306579,3.59465636898426
"39","Betulaceae","Alnus",-5.90819198411422,403,4.72234473740685,5.50268761350973,3.96531495747166
"40","Betulaceae","Alnus",-7.42452687841048,403,4.14259182192711,4.91256212255903,3.42600678436999
"41","Betulaceae","Alnus",-6.83860428666361,403,4.38039598482438,5.18011680579142,3.58276802158131
"42","Betulaceae","Alnus",-6.67533489088772,403,4.39766412657166,5.20821982809631,3.63761979891547
"43","Betulaceae","Alnus",-7.21263505449317,403,4.20846614234902,4.97106362542397,3.4822990088655
"44","Betulaceae","Alnus",-6.05857875581603,403,4.65506765982609,5.47361920099825,3.93516416110215
"45","Betulaceae","Alnus",-6.90420359369008,403,4.3323057052181,5.08434172759923,3.60096497024136
"46","Betulaceae","Alnus",-7.34175104305541,403,4.18771494843651,4.89184045595105,3.47129174054417
"47","Betulaceae","Alnus",-7.53445388871138,403,4.0819410761701,4.89563119069185,3.33418929199217
"48","Betulaceae","Alnus",-8.06024630668442,403,3.91207274822075,4.69694904176494,3.1437544872186
"49","Betulaceae","Alnus",-6.62360242690875,403,4.47066257226282,5.23375486591822,3.69841256357539
"50","Betulaceae","Alnus",-7.40529291375453,403,4.1485629721255,4.91080864132669,3.36815371847633
"51","Betulaceae","Alnus",-6.42015181445316,403,4.52183403411422,5.29118262992038,3.7184564687634
"52","Betulaceae","Alnus",-7.38212522673788,403,4.1601371846572,4.97508763268764,3.39958493513638
"53","Betulaceae","Alnus",-7.39932908071209,403,4.13933290535709,4.90890188303029,3.39179557286275
"54","Betulaceae","Alnus",-6.60750551188496,403,4.47743677499678,5.20277045100984,3.64286982303089
"55","Betulaceae","Alnus",-6.43599569233238,403,4.51291004417682,5.29666899650006,3.74826968050304
"56","Betulaceae","Alnus",-6.50429284154754,403,4.49596061535929,5.30674267817408,3.707203221211
"57","Betulaceae","Alnus",-7.49036158514276,403,4.1210802128981,4.87645995941265,3.32346935920298
"58","Betulaceae","Alnus",-6.76865616492479,403,4.40000161198104,5.15660372390888,3.59017564565122
"59","Betulaceae","Alnus",-7.70294847423208,403,3.99839928871982,4.81607791150333,3.25254059106415
"60","Betulaceae","Alnus",-6.48171137428689,403,4.48524435137368,5.24005454708203,3.72623089081713
"61","Betulaceae","Alnus",-6.43894861581456,403,4.52585086789202,5.26038668065071,3.73236421015025
"62","Betulaceae","Alnus",-6.95304976017695,403,4.31812909926282,5.0422682514816,3.57391837120743
"63","Betulaceae","Alnus",-7.61754823494273,403,4.05788129087895,4.80538128544052,3.24369041226902
"64","Betulaceae","Alnus",-5.66757022470124,403,4.84208912507545,5.57984543927824,4.0486574036217
"65","Betulaceae","Alnus",-6.86300660397243,403,4.3272252287894,5.11455379111592,3.59885989522065
"66","Betulaceae","Alnus",-7.05835493782064,403,4.27685059334781,5.11124037998958,3.49975985719703
"67","Betulaceae","Alnus",-6.43520240183172,403,4.52955117075925,5.28238049951894,3.75548965422004
"68","Betulaceae","Alnus",-6.99458739931193,403,4.30756780994882,5.08244439303739,3.53254886786499
"70","Fagaceae","Fagus",-8.42680875957767,357,4.18250071209234,4.93824081657178,3.43543350251829
"71","Betulaceae","Paracarpinus",-7.61420859481366,403,4.06198510433118,4.8262727644122,3.30653533188901
"72","Juglandaceae","Pterocarya",-8.0488534456572,27,3.8672646858143,4.65153642664128,3.1024723655841
"73","Juglandaceae","Pterocarya",-7.07422199072801,27,4.25859055097516,5.01997337041728,3.48691473097193
"74","Juglandaceae","Pterocarya",-8.0318853956372,27,3.86916028331802,4.65463612682417,3.02333980447294
"75","Fagaceae","Quercus",-6.64264478884662,357,4.76439485173187,5.48220867766383,4.0008214094424
"76","Fagaceae","Quercus",-5.46064784321593,357,5.13151625356102,5.88852909256196,4.39241993302702
"77","Fagaceae","Quercus",-6.83679740604238,357,4.68261891331816,5.40872278237671,3.96223601307688
"78","Fagaceae","Quercus",-6.96543312181962,357,4.66717177149489,5.40742982706304,3.91108997624768
"79","Rosaceae","Malus",-7.02101244684657,159,4.31021398192969,5.03803693574366,3.56815515692385
"80","Sapindaceae","Acer",-7.22304564382386,45,4.28220155550045,5.05934493310351,3.5699970330501
"81","Sapindaceae","Acer",-8.01568483892792,45,3.97596973011997,4.76911313051539,3.18368833348918
"82","Betulaceae","Alnus",-7.44690836340198,403,4.16667194942818,4.91369705699348,3.3907512059497
"83","Betulaceae","Alnus",-7.81695123838043,403,3.99805136206,4.74956744821024,3.25545826489564
"84","Betulaceae","Alnus",-6.23350349737448,403,4.61335902148648,5.37060189307453,3.88558072308595
"85","Betulaceae","Alnus",-6.38922282923806,403,4.54920231778533,5.27066345094355,3.74764848044752
"86","Betulaceae","Alnus",-7.25255529550454,403,4.19305305136282,5.04771814071064,3.35740977788636
"87","Betulaceae","Alnus",-7.2634649746372,403,4.21722738055694,4.96460664719702,3.38742514466011
"88","Betulaceae","Alnus",-6.83488500102741,403,4.35613876694601,5.19129607222164,3.62968908928285
"89","Betulaceae","Alnus",-6.72655768693331,403,4.40699951930513,5.18730637238024,3.63026694922984
"90","Betulaceae","Alnus",-7.94131043101694,403,3.92890232115244,4.72148337142075,3.17359066062075
"91","Betulaceae","Alnus",-6.62918458939882,403,4.45425770292735,5.24936409301187,3.77345844432516
"92","Betulaceae","Alnus",-6.4904037616353,403,4.52216619076645,5.27134233804142,3.76568334901647
"93","Betulaceae","Alnus",-7.70686093171806,403,4.02875139731587,4.78030080814544,3.28664925061923
"94","Betulaceae","Alnus",-7.18988214354691,403,4.2499397686768,5.02420854974942,3.44850105842673
"95","Betulaceae","Alnus",-6.14991552665103,403,4.61979753541694,5.45200599001181,3.83643207472284
"96","Betulaceae","Alnus",-7.97091452016687,403,3.93704547539963,4.75657289939506,3.07724538475719
"97","Betulaceae","Alnus",-5.24292882912686,403,4.97352814696116,5.74145621699298,4.18809777288799
"98","Betulaceae","Alnus",-7.56080520758428,403,4.09384768147006,4.85768423521273,3.33848801204796
"99","Betulaceae","Alnus",-8.03300316661671,403,3.92751175980154,4.64298000622193,3.13154727326649
"100","Betulaceae","Alnus",-7.51914000071939,403,4.12209736123104,4.88778016241247,3.3410261962885
"101","Betulaceae","Alnus",-7.33041130786298,403,4.15337216476785,4.97225544140937,3.37514865985243
"102","Betulaceae","Alnus",-6.93545540962442,403,4.33419738011062,5.12168583354435,3.56301521351979
"103","Betulaceae","Alnus",-7.7038458986843,403,4.05605418979775,4.76962518853489,3.24078957023148
"104","Betulaceae","Alnus",-8.12376355322018,403,3.88301110751722,4.69120983179263,3.0976666465755
"105","Betulaceae","Alnus",-7.35382834201866,403,4.17206033273658,4.89497506612057,3.38321212656133
"106","Betulaceae","Alnus",-7.01422418645706,403,4.3149556447412,5.11100618328427,3.53725126157065
"107","Betulaceae","Alnus",-6.39471969896932,403,4.57874895445927,5.30150415540298,3.81587168074432
"108","Betulaceae","Alnus",-8.21559711918245,403,3.83561551195922,4.54989570101652,2.9994329470057
"109","Betulaceae","Alnus",-7.1594706447706,403,4.24250585777409,5.00843724875639,3.48453768098109
"110","Betulaceae","Alnus",-6.92735102767917,403,4.34428980730342,5.10456044264857,3.58980758292101
"111","Betulaceae","Alnus",-7.30883451908578,403,4.1786407670378,4.96581683875684,3.42610876114711
"112","Betulaceae","Alnus",-6.00644986827787,403,4.70054926719279,5.49355707180274,3.89145477280811
"113","Betulaceae","Alnus",-7.21310721468907,403,4.2165291880136,4.97331780262544,3.45557459272313
"114","Betulaceae","Alnus",-7.09782316123451,403,4.26465794489147,4.99948663405989,3.49859061788857
"115","Betulaceae","Alnus",-4.56051455724286,403,5.25848166876837,6.0623593572887,4.49754413171696
"116","Betulaceae","Alnus",-7.71388752389353,403,4.03269244398147,4.82228141550555,3.2098226360628
"117","Betulaceae","Alnus",-6.81850890146794,403,4.38103273584246,5.1891208083144,3.59610178747246
"118","Rosaceae","Amelanchier",-7.55064670321104,159,4.1092925562143,4.82702816629433,3.33905385084274
"119","Rosaceae","Amelanchier",-6.75328379347567,159,4.40449123369847,5.1237361144074,3.65009711361597
"120","Meliaceae","Cedrela",-7.25923801152458,10,4.32465920492701,5.10335616918281,3.48283437700774
"124","Rosaceae","Crataegus",-7.98154813383373,159,3.91286211496364,4.6901233880703,3.15209554890001
"125","Rosaceae","Crataegus",-6.5473398394277,159,4.48309059334941,5.19220069259962,3.72794515907289
"126","Betulaceae","Paracarpinus",-7.2245956872062,403,4.21814357804954,4.96986604273359,3.39556559641188
"127","Betulaceae","Paracarpinus",-7.19753421498317,403,4.22098301680489,5.02956531827936,3.45190808322785
"128","Betulaceae","Paracarpinus",-8.24889273489836,403,3.82438551839339,4.58189925017633,3.05459779569946
"129","Betulaceae","Paracarpinus",-7.00204398067291,403,4.2952169541026,5.03625103721984,3.53945538847884
"130","Betulaceae","Paracarpinus",-7.90234004002635,403,3.96010314069515,4.73792728123278,3.23120591368203
"131","Betulaceae","Paracarpinus",-8.69969276405407,403,3.63976549944851,4.44820608347187,2.80030138768764
"132","Betulaceae","Paracarpinus",-7.21004620972919,403,4.21919829828508,4.89825304447541,3.44334276098858
"133","Betulaceae","Paracarpinus",-7.60238756176068,403,4.09234547832161,4.87023782919549,3.25780096692859
"134","Betulaceae","Paracarpinus",-7.04217849773682,403,4.29244341551495,5.03374815872454,3.53250847603297
"135","Betulaceae","Paracarpinus",-7.34204279054,403,4.16439115090549,4.94963218293745,3.40257771611015
"136","Betulaceae","Paracarpinus",-7.56988840601291,403,4.0677993763517,4.84074349412273,3.33555801337188
"137","Betulaceae","Paracarpinus",-6.85710969431324,403,4.35921788757284,5.06259599685732,3.59234886073962
"138","Betulaceae","Paracarpinus",-8.34570931738907,403,3.74986251054843,4.52902382279267,2.90896128175552
"141","Juglandaceae","Pterocarya",-7.66829304394828,27,4.01374730410848,4.79640196792231,3.20925898673605
"142","Fagaceae","Quercus",-6.83356473880868,357,4.69412719348275,5.41986373573937,3.93935603752969
