"","Family","Genus","leaf.area","log_pet_leafarea","count"
"1","Betulaceae","Alnus",14.907982,-7.88024606054449,403
"2","Cercidiphyllaceae","Cercidiphyllum",4.79356,-7.50849466941693,59
"3","Cercidiphyllaceae","Cercidiphyllum",6.223188,-5.66874559770623,59
"4","Cercidiphyllaceae","Cercidiphyllum",3.107462,-7.03329809400246,59
"5","Cercidiphyllaceae","Cercidiphyllum",3.478013,-8.21840427890812,59
"6","Cercidiphyllaceae","Cercidiphyllum",9.889502,-8.13276106718259,59
"7","Cercidiphyllaceae","Cercidiphyllum",2.130213,-7.28501492738826,59
"8","Cercidiphyllaceae","Cercidiphyllum",16.194276,-8.77224674437629,59
"9","Cercidiphyllaceae","Cercidiphyllum",2.32898,-6.71414023436839,59
"10","Cercidiphyllaceae","Cercidiphyllum",3.7085,-7.69894536985549,59
"11","Cercidiphyllaceae","Cercidiphyllum",7.068021,-6.8278134994786,59
"12","Cercidiphyllaceae","Cercidiphyllum",8.117619,-7.15037476096368,59
"13","Cercidiphyllaceae","Cercidiphyllum",11.727724,-6.89218512539128,59
"14","Cercidiphyllaceae","Cercidiphyllum",2.366781,-6.83531369448142,59
"15","Lauraceae","Litseaphyllum",36.455619,-5.96870199100087,40
"16","Magnoliaceae","Magnolia",36.872525,-5.73145289401556,6
"17","Hamamelidaceae","Parrotia",10.961633,-6.8880016724953,36
"18","Hamamelidaceae","Parrotia",27.220815,-9.05920852997227,36
"19","Hamamelidaceae","Parrotia",18.81631,-8.03435663257433,36
"20","Hamamelidaceae","Parrotia",21.877598,-8.18955630033255,36
"21","Tiliaceae","Plafkeria",5.576047,-5.10572853243408,16
"22","Tiliaceae","Plafkeria",5.506253,-5.22794147853615,16
"23","Anacardiaceae","Rhus",8.858221,-7.15193479283786,76
"24","Anacardiaceae","Rhus",17.104011,-6.39687305681787,76
"25","Anacardiaceae","Rhus",9.95172,-7.81013817473299,76
"26","Rosaceae","Rosa",1.667778,-6.12138555075169,159
"27","Theaceae","Ternstroemites",12.37545,-8.08400267591859,4
"28","Ulmaceae","Ulmus",10.714231,-7.65379492666185,316
"29","Betulaceae","Alnus",9.865301,-7.68472764510757,403
"30","Betulaceae","Alnus",3.010646,-6.45249796922928,403
"31","Betulaceae","Alnus",1.701455,-5.58566802725609,403
"32","Betulaceae","Alnus",14.929798,-8.37631013858988,403
"33","Betulaceae","Alnus",0.671414,-4.88444278406355,403
"34","Betulaceae","Alnus",1.240263,-5.38604187047952,403
"35","Betulaceae","Alnus",7.469073,-7.20581097186148,403
"36","Betulaceae","Alnus",15.593692,-6.7325137263731,403
"37","Betulaceae","Alnus",7.28175,-7.11987976381391,403
"38","Betulaceae","Alnus",5.975488,-6.73645422547165,403
"39","Betulaceae","Alnus",2.92495,-5.90819198411422,403
"40","Betulaceae","Alnus",23.92671,-7.42452687841048,403
"41","Betulaceae","Alnus",17.215304,-6.83860428666361,403
"42","Betulaceae","Alnus",5.717334,-6.67533489088772,403
"43","Betulaceae","Alnus",19.072222,-7.21263505449317,403
"44","Betulaceae","Alnus",5.742544,-6.05857875581603,403
"45","Betulaceae","Alnus",18.403603,-6.90420359369008,403
"46","Betulaceae","Alnus",6.725349,-7.34175104305541,403
"47","Betulaceae","Alnus",9.099618,-7.53445388871138,403
"48","Betulaceae","Alnus",28.117259,-8.06024630668442,403
"49","Betulaceae","Alnus",13.651517,-6.62360242690875,403
"50","Betulaceae","Alnus",15.273361,-7.40529291375453,403
"51","Betulaceae","Alnus",7.926005,-6.42015181445316,403
"52","Betulaceae","Alnus",7.973613,-7.38212522673788,403
"53","Betulaceae","Alnus",8.253072,-7.39932908071209,403
"54","Betulaceae","Alnus",4.599502,-6.60750551188496,403
"55","Betulaceae","Alnus",7.761533,-6.43599569233238,403
"56","Betulaceae","Alnus",7.187099,-6.50429284154754,403
"57","Betulaceae","Alnus",5.359303,-7.49036158514276,403
"58","Betulaceae","Alnus",5.377892,-6.76865616492479,403
"59","Betulaceae","Alnus",19.057658,-7.70294847423208,403
"60","Betulaceae","Alnus",9.139737,-6.48171137428689,403
"61","Betulaceae","Alnus",7.61471,-6.43894861581456,403
"62","Betulaceae","Alnus",9.273773,-6.95304976017695,403
"63","Betulaceae","Alnus",18.238768,-7.61754823494273,403
"64","Betulaceae","Alnus",2.01574,-5.66757022470124,403
"65","Betulaceae","Alnus",11.100951,-6.86300660397243,403
"66","Betulaceae","Alnus",16.602065,-7.05835493782064,403
"67","Betulaceae","Alnus",8.4801,-6.43520240183172,403
"68","Betulaceae","Alnus",8.825361,-6.99458739931193,403
"69","Cercidiphyllaceae","Cercidiphyllum",19.018228,-7.57724452839145,59
"70","Fagaceae","Fagus",28.469348,-8.42680875957767,357
"71","Betulaceae","Paracarpinus",9.282775,-7.61420859481366,403
"72","Juglandaceae","Pterocarya",16.519021,-8.0488534456572,27
"73","Juglandaceae","Pterocarya",2.338606,-7.07422199072801,27
