"","scrubbed_genus","species","avg_petiole_width","avg_LMA","avg_LA","log_lma","log_pet_leafarea","class","superorder","order","scrubbed_family","count"
"1","Cinnamomum","camphora",1.46,91.4,1878.7,4.5152454784601,-6.78146245583276,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"2","Nyssa","aquatica",1.35,35.7,4966.6,3.57515068878559,-7.91028159545589,"Equisetopsida","Asteranae","Cornales","Cornaceae",7
"3","Pimelea","sp",0.74,239.6,46.6,5.47897086624129,-4.44381072669944,"Equisetopsida","Rosanae","Malvales","Thymelaeaceae",7
"4","Rhododendron","sp",1.44,105.2,1716.8,4.65586330030361,-6.71893114470062,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"5","Spiraea","sp",0.6,98.7,203.8,4.59208494643944,-6.33879036832061,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"6","Spiraea","sp",0.97,42.9,1083.3,3.75887182593397,-7.04868563192094,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"7","Acacia","doratoxylon",1.48,268.8,858.1,5.59396760864899,-5.97063646726103,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"8","Acacia","elongate",1.66,118.1,555.4,4.77153172320332,-5.3060533701358,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"9","Acacia","koa",1.83,159,1738,5.06890420222023,-6.25185837211868,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"10","Acacia","melanoxylon",1.56,148,1464.3,4.99721227376411,-6.39976094903832,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"11","Acacia","mucronata",1.12,289,96.2,5.66642668811243,-4.33977198705765,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"12","Acacia","nigrescens",0.9,103.3,213,4.63763737612559,-5.57201319702508,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"13","Acacia","oswaldii",0.59,381.2,116.2,5.94332417178005,-5.81057832858255,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"14","Acacia","suaveolens",1.2,238.2,279.3,5.4731106569212,-5.26764335936322,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"15","Acacia","willhelmiana",0.48,212.2,12.9,5.35752922617988,-4.02516566152803,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"16","Acer","campestre",1.5,39.2,2909.1,3.66867674679642,-7.16466881776228,"Equisetopsida","Rosanae","Sapindales","Sapindaceae",13
"17","Acer","negundo",0.97,58.25,2212.45,4.06474409244581,-7.76277419272609,"Equisetopsida","Rosanae","Sapindales","Sapindaceae",13
"18","Acer","pensylvanicum",2.062,37.22,10909.14,3.6168462512141,-7.85000347776615,"Equisetopsida","Rosanae","Sapindales","Sapindaceae",13
"19","Acer","pseudoplatanus",1.23,55.1,6305.1,4.00914971615887,-8.33508576993282,"Equisetopsida","Rosanae","Sapindales","Sapindaceae",13
"20","Acer","rubrum",1.26666666666667,59.95,3552.575,4.09351088147352,-7.70265041551298,"Equisetopsida","Rosanae","Sapindales","Sapindaceae",13
"21","Acer","saccharum",1.136,51.48,4980.14,3.94119338272793,-8.25818664147543,"Equisetopsida","Rosanae","Sapindales","Sapindaceae",13
"22","Acmena","graveolens",3.2,138.7,6123.5,4.93231332732079,-6.39358748784998,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"23","Adelia","triloba",0.49,33.6,535.2,3.51452606696916,-7.70934028456895,"Equisetopsida","Rosanae","Malpighiales","Euphorbiaceae",12
"24","Adelia","triloba",0.49,33.6,535.2,3.51452606696916,-7.70934028456895,"Equisetopsida","Asteranae","Lamiales","Oleaceae",12
"25","Aegiphila","panamensis",0.92,74.1,2546.8,4.30541553230204,-8.00935616602097,"Equisetopsida","Asteranae","Lamiales","Lamiaceae",4
